chromosome,interval,mean_recomb_rate
b'Pseudochr4',64480000-66495000,0.00000000000000992188453208616
b'Pseudochr4',66495000-68510000,0.00000000000001085568688097706
b'Pseudochr4',68510000-70525000,0.000000000000011727782285501577
b'Pseudochr4',70525000-72540000,0.000000000000012150068047755524
b'Pseudochr4A',0-2010000,0.0000000000000005775767554669746
b'Pseudochr4A',2010000-4020000,0.0000000000000014298974402561184
b'Pseudochr4A',4020000-6030000,0.000000000000002423648224880875
b'Pseudochr4A',6030000-8040000,0.000000000000003142854155502347
b'Pseudochr4A',8040000-10050000,0.000000000000003677116644816373
b'Pseudochr4A',10050000-12060000,0.0000000000000040237463457756315
b'Pseudochr4A',12060000-14070000,0.000000000000004354003755162769
b'Pseudochr4A',14070000-16080000,0.000000000000004772123788476897
b'Pseudochr4A',16080000-18090000,0.000000000000005519045211816442
b'Pseudochr5',0-2016000,0.0000000000000006738526974418414
b'Pseudochr5',2016000-4032000,0.0000000000000013822446046403002
b'Pseudochr5',4032000-6048000,0.0000000000000015909077197927915
b'Pseudochr5',6048000-8064000,0.0000000000000024653026394192094
b'Pseudochr5',8064000-10080000,0.0000000000000030852394883682342
b'Pseudochr5',10080000-12096000,0.000000000000003450889952889014
b'Pseudochr5',12096000-14112000,0.0000000000000036909419386714025
b'Pseudochr5',14112000-16128000,0.000000000000003896059769523669
b'Pseudochr5',16128000-18144000,0.000000000000004074203042365139
b'Pseudochr5',18144000-20160000,0.0000000000000042559648602554305
b'Pseudochr5',20160000-22176000,0.000000000000004410014288561206
b'Pseudochr5',22176000-24192000,0.000000000000004539607142881008
b'Pseudochr5',24192000-26208000,0.000000000000004717068297893656
b'Pseudochr5',26208000-28224000,0.000000000000004875664905211677
b'Pseudochr5',28224000-30240000,0.000000000000005014900910087643
b'Pseudochr5',30240000-32256000,0.0000000000000051393041050099544
b'Pseudochr5',32256000-34272000,0.0000000000000052713929438731376
b'Pseudochr5',34272000-36288000,0.000000000000005420801702348166
b'Pseudochr5',36288000-38304000,0.0000000000000055460700746417544
b'Pseudochr5',38304000-40320000,0.000000000000005708321635967637
b'Pseudochr5',40320000-42336000,0.0000000000000058536028511363705
b'Pseudochr5',42336000-44352000,0.0000000000000059955134852498256
b'Pseudochr5',44352000-46368000,0.000000000000006133272036052434
b'Pseudochr5',46368000-48384000,0.000000000000006269130885613344
b'Pseudochr5',48384000-50400000,0.000000000000006418116998862657
b'Pseudochr5',50400000-52416000,0.000000000000006574600300806116
b'Pseudochr5',52416000-54432000,0.000000000000006838569493662654
b'Pseudochr5',54432000-56448000,0.000000000000007141922118646937
b'Pseudochr5',56448000-58464000,0.000000000000007714842644398625
b'Pseudochr5',58464000-60480000,0.000000000000008571765764010447
b'Pseudochr5',60480000-62496000,0.0000000000000094957915305503
b'Pseudochr6',0-2010000,0.0000000000000009569760354434218
b'Pseudochr6',2010000-4020000,0.0000000000000017305807304830478
b'Pseudochr6',4020000-6030000,0.000000000000002267397606431424
b'Pseudochr6',6030000-8040000,0.000000000000002737531736066502
b'Pseudochr6',8040000-10050000,0.0000000000000030331742945208064
b'Pseudochr6',10050000-12060000,0.000000000000003252599554002514
b'Pseudochr6',12060000-14070000,0.0000000000000034205736746733094
b'Pseudochr6',14070000-16080000,0.0000000000000035954928811476805
b'Pseudochr6',16080000-18090000,0.0000000000000037634128282535
b'Pseudochr6',18090000-20100000,0.0000000000000039755072302925225
b'Pseudochr6',20100000-22110000,0.000000000000004154780696120917
b'Pseudochr6',22110000-24120000,0.000000000000004415491849313418
b'Pseudochr6',24120000-26130000,0.0000000000000047668448898748865
b'Pseudochr6',26130000-28140000,0.00000000000000527375881953458
b'Pseudochr6',28140000-30150000,0.0000000000000058510594660216555
b'Pseudochr6',30150000-32160000,0.000000000000006748561813644941
b'Pseudochr6',32160000-34170000,0.000000000000007738796111586348
b'Pseudochr7',0-2016000,0.0000000000000008909948631481674
b'Pseudochr7',2016000-4032000,0.0000000000000013655729774500914
b'Pseudochr7',4032000-6048000,0.0000000000000016304268024413544
b'Pseudochr7',6048000-8064000,0.000000000000001802955687503765
b'Pseudochr7',8064000-10080000,0.000000000000001953289633655832
b'Pseudochr7',10080000-12096000,0.000000000000002112252139266518
b'Pseudochr7',12096000-14112000,0.0000000000000022850402527148633
b'Pseudochr7',14112000-16128000,0.0000000000000024914480041889865
b'Pseudochr7',16128000-18144000,0.000000000000002739353533092382
b'Pseudochr7',18144000-20160000,0.000000000000003086366650302429
b'Pseudochr7',20160000-22176000,0.000000000000003636231098929289
b'Pseudochr7',22176000-24192000,0.000000000000004365042785571731
b'Pseudochr7',24192000-26208000,0.0000000000000050810262864462735
b'Pseudochr7',26208000-28224000,0.000000000000005641005376646144
b'Pseudochr7',28224000-30240000,0.0000000000000062224289656301585
b'Pseudochr7',30240000-32256000,0.0000000000000067975357332734915
b'Pseudochr7',32256000-34272000,0.000000000000007473651105987894
b'Pseudochr7',34272000-36288000,0.000000000000008231424783204863
b'Pseudochr8',0-2013000,0.0000000000000009099503271581324
b'Pseudochr8',2013000-4026000,0.000000000000001810375525258188
b'Pseudochr8',4026000-6039000,0.000000000000002709908193689056
b'Pseudochr8',6039000-8052000,0.000000000000003251713029714971
b'Pseudochr8',8052000-10065000,0.000000000000003640713830079953
b'Pseudochr8',10065000-12078000,0.0000000000000038484851475727015
b'Pseudochr8',12078000-14091000,0.000000000000004018677794928495
b'Pseudochr8',14091000-16104000,0.000000000000004195202817630886
b'Pseudochr8',16104000-18117000,0.000000000000004383620020559777
b'Pseudochr8',18117000-20130000,0.000000000000004567119942702946
